時間,設備,值
2024-10-26 11:30:42,SA-23/LED_LEVEL,6
2024-10-26 11:30:44,SA-23/TEMPERATURE,28.92
2024-10-26 11:30:44,SA-23/LINE_LEVEL,1
2024-10-26 11:30:47,SA-23/TEMPERATURE,28.45
2024-10-26 11:30:52,SA-23/TEMPERATURE,28.92
2024-10-26 11:30:53,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:03,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:05,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:07,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:13,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:17,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:19,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:25,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:34,SA-23/LED_LEVEL,6
2024-10-26 11:31:35,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:36,SA-23/LINE_LEVEL,1
2024-10-26 11:31:37,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:41,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:43,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:48,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:49,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:52,SA-23/TEMPERATURE,28.92
2024-10-26 11:31:55,SA-23/TEMPERATURE,28.45
2024-10-26 11:31:57,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:08,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:11,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:13,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:15,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:25,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:27,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:31,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:35,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:39,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:46,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:50,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:51,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:53,SA-23/TEMPERATURE,28.45
2024-10-26 11:32:57,SA-23/TEMPERATURE,28.92
2024-10-26 11:32:59,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:01,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:05,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:07,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:09,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:12,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:15,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:17,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:19,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:21,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:33,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:45,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:47,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:55,SA-23/TEMPERATURE,28.92
2024-10-26 11:33:56,SA-23/LED_LEVEL,4
2024-10-26 11:33:57,SA-23/LED_LEVEL,2
2024-10-26 11:33:57,SA-23/TEMPERATURE,28.45
2024-10-26 11:33:58,SA-23/LED_LEVEL,0
2024-10-26 11:33:58,SA-23/LED_LEVEL,1
2024-10-26 11:33:59,SA-23/LED_LEVEL,2
2024-10-26 11:34:00,SA-23/LED_LEVEL,4
2024-10-26 11:34:00,SA-23/LED_LEVEL,5
2024-10-26 11:34:05,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:13,SA-23/TEMPERATURE,28.45
2024-10-26 11:34:17,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:26,SA-23/TEMPERATURE,28.45
2024-10-26 11:34:29,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:31,SA-23/TEMPERATURE,28.45
2024-10-26 11:34:37,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:43,SA-23/TEMPERATURE,28.45
2024-10-26 11:34:45,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:47,SA-23/TEMPERATURE,28.45
2024-10-26 11:34:53,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:55,SA-23/TEMPERATURE,28.45
2024-10-26 11:34:57,SA-23/TEMPERATURE,28.92
2024-10-26 11:34:59,SA-23/TEMPERATURE,28.45
2024-10-26 11:35:03,SA-23/TEMPERATURE,28.92
2024-10-26 11:35:06,SA-23/TEMPERATURE,28.45
2024-10-26 11:35:07,SA-23/TEMPERATURE,28.92
2024-10-26 11:35:23,SA-23/TEMPERATURE,28.45
2024-10-26 11:35:25,SA-23/TEMPERATURE,28.92
2024-10-26 11:35:45,SA-23/TEMPERATURE,28.45
2024-10-26 11:35:47,SA-23/TEMPERATURE,28.92
2024-10-26 11:35:57,SA-23/TEMPERATURE,28.45
2024-10-26 11:35:59,SA-23/TEMPERATURE,28.92
2024-10-26 11:36:01,SA-23/TEMPERATURE,28.45
2024-10-26 11:36:03,SA-23/TEMPERATURE,28.92
2024-10-26 11:36:07,SA-23/TEMPERATURE,28.45
2024-10-26 11:36:09,SA-23/TEMPERATURE,28.92
2024-10-26 11:36:17,SA-23/TEMPERATURE,28.45
2024-10-26 11:36:19,SA-23/TEMPERATURE,28.92
2024-10-26 11:36:21,SA-23/TEMPERATURE,28.45
2024-10-26 11:36:23,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:07,SA-23/TEMPERATURE,28.45
2024-10-26 11:53:09,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:11,SA-23/LED_LEVEL,7
2024-10-26 11:53:12,SA-23/LED_LEVEL,8
2024-10-26 11:53:13,SA-23/TEMPERATURE,28.45
2024-10-26 11:53:13,SA-23/LED_LEVEL,6
2024-10-26 11:53:13,SA-23/LED_LEVEL,5
2024-10-26 11:53:17,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:17,SA-23/LINE_LEVEL,0
2024-10-26 11:53:19,SA-23/LINE_LEVEL,1
2024-10-26 11:53:20,SA-23/LED_LEVEL,7
2024-10-26 11:53:21,SA-23/TEMPERATURE,28.45
2024-10-26 11:53:21,SA-23/LED_LEVEL,8
2024-10-26 11:53:21,SA-23/LED_LEVEL,7
2024-10-26 11:53:22,SA-23/LED_LEVEL,6
2024-10-26 11:53:23,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:27,SA-23/TEMPERATURE,28.45
2024-10-26 11:53:29,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:33,SA-23/TEMPERATURE,29.39
2024-10-26 11:53:35,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:37,SA-23/TEMPERATURE,28.45
2024-10-26 11:53:39,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:41,SA-23/TEMPERATURE,28.45
2024-10-26 11:53:45,SA-23/TEMPERATURE,28.92
2024-10-26 11:53:47,SA-23/TEMPERATURE,28.45
