時間,設備,值
2024-10-19 14:29:18,SA-23/TEMPERATURE,28.92
2024-10-19 14:29:20,SA-23/TEMPERATURE,29.39
2024-10-19 14:29:24,SA-23/TEMPERATURE,28.92
2024-10-19 14:29:38,SA-23/TEMPERATURE,29.39
2024-10-19 14:29:40,SA-23/TEMPERATURE,28.92
2024-10-19 14:29:48,SA-23/TEMPERATURE,29.39
2024-10-19 14:29:53,SA-23/TEMPERATURE,28.92
2024-10-19 14:29:54,SA-23/TEMPERATURE,29.39
2024-10-19 14:29:58,SA-23/TEMPERATURE,28.92
2024-10-19 14:30:02,SA-23/TEMPERATURE,29.85
2024-10-19 14:30:04,SA-23/TEMPERATURE,28.92
2024-10-19 14:30:10,SA-23/TEMPERATURE,29.39
2024-10-19 14:30:12,SA-23/TEMPERATURE,28.92
2024-10-19 14:30:14,SA-23/TEMPERATURE,29.39
2024-10-19 14:30:16,SA-23/TEMPERATURE,29.85
2024-10-19 14:30:18,SA-23/TEMPERATURE,28.92
2024-10-19 14:30:26,SA-23/TEMPERATURE,29.39
2024-10-19 14:30:28,SA-23/TEMPERATURE,28.92
2024-10-19 14:30:30,SA-23/TEMPERATURE,29.39
2024-10-19 14:30:32,SA-23/TEMPERATURE,28.92
2024-10-19 14:30:48,SA-23/TEMPERATURE,29.39
2024-10-19 14:30:50,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:02,SA-23/TEMPERATURE,29.39
2024-10-19 14:31:04,SA-23/TEMPERATURE,29.85
2024-10-19 14:31:06,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:12,SA-23/TEMPERATURE,29.39
2024-10-19 14:31:16,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:28,SA-23/TEMPERATURE,29.39
2024-10-19 14:31:30,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:32,SA-23/TEMPERATURE,29.39
2024-10-19 14:31:34,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:36,SA-23/TEMPERATURE,29.39
2024-10-19 14:31:38,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:40,SA-23/TEMPERATURE,29.85
2024-10-19 14:31:42,SA-23/TEMPERATURE,28.92
2024-10-19 14:31:48,SA-23/TEMPERATURE,29.39
